stime,ltime,dur,mean,sum,min,max,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,srate,drate,stcpb,dtcpb,tcprtt,synack,ackdat,label
1663634678.232484,1663634683.256423,5.023939,5.023939,5.023939,5.023939,5.023939,4,0,240,0,0,0,286.627686,0.597141,0,0,0,0,0,0,attack
1663634681.868115,1663634681.868115,0.000000,0,0,0,0,1,0,149,0,1,0,0,0,0,0,0,0,0,0,normal
1663634684.280478,1663634689.272446,4.991968,4.991968,4.991968,4.991968,4.991968,4,0,240,0,0,0,288.463379,0.600965,0,0,0,0,0,0,attack
1663634685.473198,1663634690.020991,4.547793,4.547793,4.547793,4.547793,4.547793,6,0,360,0,0,0,527.728516,1.099434,0,0,0,0,0,0,normal
1663634688.877413,1663634693.880974,5.003561,5.003561,5.003561,5.003561,5.003561,2,0,162,0,64,0,129.507767,0.199858,0,0,0,0,0,0,normal
1663634688.877447,1663634693.880999,5.003552,5.003552,5.003552,5.003552,5.003552,2,0,162,0,64,0,129.507996,0.199858,0,0,0,0,0,0,normal
1663634688.877852,1663634693.877999,5.000147,5.000147,5.000147,5.000147,5.000147,4,0,168,0,0,0,201.594086,0.599982,0,0,0,0,0,0,normal
1663634692.239091,1663634697.244292,5.005201,5.005201,5.005201,5.005201,5.005201,4,0,240,0,0,0,287.700745,0.599377,0,0,0,0,0,0,attack
1663634694.875575,1663634699.879590,5.004015,5.004015,5.004015,5.004015,5.004015,4,0,168,0,0,0,201.438248,0.599519,0,0,0,0,0,0,normal
1663634698.264410,1663634703.256334,4.991924,4.991924,4.991924,4.991924,4.991924,4,0,240,0,0,0,288.465942,0.600971,0,0,0,0,0,0,attack
1663634698.877782,1663634698.877782,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634698.878294,1663634698.878294,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634698.878802,1663634698.878946,0.000144,0.000144,0.000144,0.000144,0.000144,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634698.878828,1663634698.878986,0.000158,0.000158,0.000158,0.000158,0.000158,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634698.879550,1663634703.881251,5.001701,5.001701,5.001701,5.001701,5.001701,2,0,162,0,64,0,129.555923,0.199932,0,0,0,0,0,0,normal
1663634698.879573,1663634703.881275,5.001702,5.001702,5.001702,5.001702,5.001702,2,0,162,0,64,0,129.555908,0.199932,0,0,0,0,0,0,normal
1663634700.879614,1663634705.879580,4.999966,4.999966,4.999966,4.999966,4.999966,4,0,168,0,0,0,201.601364,0.600004,0,0,0,0,0,0,normal
1663634703.879580,1663634703.879905,0.000325,0.000325,0.000325,0.000325,0.000325,1,1,42,60,0,0,0,0,0,0,0,0,0,0,normal
1663634704.125997,1663634704.126011,0.000014,0.000014,0.000014,0.000014,0.000014,1,1,60,42,0,0,0,0,0,0,0,0,0,0,normal
1663634704.274971,1663634704.274971,0.000000,0,0,0,0,1,0,250,0,128,0,0,0,0,0,0,0,0,0,normal
1663634704.280344,1663634709.304389,5.024045,5.024045,5.024045,5.024045,5.024045,4,0,240,0,0,0,286.621643,0.597128,0,0,0,0,0,0,attack
1663634708.879904,1663634708.879904,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634708.879986,1663634708.879986,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634708.880462,1663634708.880596,0.000134,0.000134,0.000134,0.000134,0.000134,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634708.880487,1663634708.880630,0.000143,0.000143,0.000143,0.000143,0.000143,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634708.881187,1663634713.885984,5.004797,5.004797,5.004797,5.004797,5.004797,2,0,162,0,64,0,129.475784,0.199808,0,0,0,0,0,0,normal
1663634708.881208,1663634713.886009,5.004801,5.004801,5.004801,5.004801,5.004801,2,0,162,0,64,0,129.475677,0.199808,0,0,0,0,0,0,normal
1663634708.881554,1663634713.881775,5.000221,5.000221,5.000221,5.000221,5.000221,4,0,168,0,0,0,201.591095,0.599973,0,0,0,0,0,0,normal
1663634712.256438,1663634717.261763,5.005325,5.005325,5.005325,5.005325,5.005325,4,0,240,0,0,0,287.693604,0.599362,0,0,0,0,0,0,attack
1663634713.868557,1663634713.868557,0.000000,0,0,0,0,1,0,149,0,1,0,0,0,0,0,0,0,0,0,normal
1663634714.879570,1663634719.879553,4.999983,4.999983,4.999983,4.999983,4.999983,4,0,168,0,0,0,201.600693,0.600002,0,0,0,0,0,0,normal
